   variable   relative_importance scaled_importance percentage
1   P01MRG3 12118523904000.000000          1.000000   0.091153
2   M04MOD4  7461820432384.000000          0.615737   0.056126
3   M10MOD4  3971510960128.000000          0.327722   0.029873
4   VDPMRG5  3378818318336.000000          0.278814   0.025415
5   DEMMRG5  3203468361728.000000          0.264345   0.024096
6   M05MOD4  3121392386048.000000          0.257572   0.023478
7   ASSDAC3  2719399280640.000000          0.224400   0.020455
8   VBFMRG5  2178431451136.000000          0.179760   0.016386
9   PRSMRG3  2078411456512.000000          0.171507   0.015633
10  I10MOD4  2071195418624.000000          0.170912   0.015579
11  P10MRG3  1950061690880.000000          0.160916   0.014668
12  T11MSD3  1940878917632.000000          0.160158   0.014599
13  T03MSD3  1927761887232.000000          0.159076   0.014500
14  P07MRG3  1861491621888.000000          0.153607   0.014002
15  VW5MOD1  1833142845440.000000          0.151268   0.013788
